"Type","BuyAmount","BuyCurrency","SellAmount","SellCurrency","FeeAmount","FeeCurrency","Exchange","ExchangeId","Group","Import","Comment","Date","NOKEquivalent","UpdatedAt"
"Trade","0","USD","1.83712347","USDLOSS","0","USD","ftx","685314950-2","","ftx","","2021-10-02T19:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.83712347","USDLOSS","1.83712347","USD","0","USD","ftx","685314950-1","","ftx","","2021-10-02T19:00:00.000Z","kr 16,29","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.47620306","USDLOSS","0","USD","ftx","685483119-2","","ftx","","2021-10-02T20:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.47620306","USDLOSS","1.47620306","USD","0","USD","ftx","685483119-1","","ftx","","2021-10-02T20:00:00.000Z","kr 13,09","2022-03-27T20:43:38.350Z"
"Trade","0","USD","0.94446238","USDLOSS","0","USD","ftx","685650427-2","","ftx","","2021-10-02T21:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","0.94446238","USDLOSS","0.94446238","USD","0","USD","ftx","685650427-1","","ftx","","2021-10-02T21:00:00.000Z","kr 8,37","2022-03-27T20:43:38.350Z"
"Trade","1.43455586","USDLOSS","1.43455586","USD","0","USD","ftx","685814144-1","","ftx","","2021-10-02T22:00:00.000Z","kr 12,72","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.43455586","USDLOSS","0","USD","ftx","685814144-2","","ftx","","2021-10-02T22:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.31419901","USDLOSS","0","USD","ftx","685983163-2","","ftx","","2021-10-02T23:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.31419901","USDLOSS","1.31419901","USD","0","USD","ftx","685983163-1","","ftx","","2021-10-02T23:00:00.000Z","kr 11,65","2022-03-27T20:43:38.350Z"
"Trade","0.90378506","USDLOSS","0.90378506","USD","0","USD","ftx","686148399-1","","ftx","","2021-10-03T00:00:00.000Z","kr 8,01","2022-03-27T20:43:38.350Z"
"Trade","0","USD","0.90378506","USDLOSS","0","USD","ftx","686148399-2","","ftx","","2021-10-03T00:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","0.88897484","USDLOSS","0.88897484","USD","0","USD","ftx","686309548-1","","ftx","","2021-10-03T01:00:00.000Z","kr 7,88","2022-03-27T20:43:38.350Z"
"Trade","0","USD","0.88897484","USDLOSS","0","USD","ftx","686309548-2","","ftx","","2021-10-03T01:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","0.95834396","USDLOSS","0.95834396","USD","0","USD","ftx","686474581-1","","ftx","","2021-10-03T02:00:00.000Z","kr 8,50","2022-03-27T20:43:38.350Z"
"Trade","0","USD","0.95834396","USDLOSS","0","USD","ftx","686474581-2","","ftx","","2021-10-03T02:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.01911563","USDLOSS","0","USD","ftx","686637111-2","","ftx","","2021-10-03T03:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.01911563","USDLOSS","1.01911563","USD","0","USD","ftx","686637111-1","","ftx","","2021-10-03T03:00:00.000Z","kr 9,04","2022-03-27T20:43:38.350Z"
"Trade","1.33923348","USDLOSS","1.33923348","USD","0","USD","ftx","686799650-1","","ftx","","2021-10-03T04:00:00.000Z","kr 11,87","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.33923348","USDLOSS","0","USD","ftx","686799650-2","","ftx","","2021-10-03T04:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.38046528","USDLOSS","0","USD","ftx","686961009-2","","ftx","","2021-10-03T05:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.38046528","USDLOSS","1.38046528","USD","0","USD","ftx","686961009-1","","ftx","","2021-10-03T05:00:00.000Z","kr 12,24","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.54696483","USDLOSS","0","USD","ftx","687126692-2","","ftx","","2021-10-03T06:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.54696483","USDLOSS","1.54696483","USD","0","USD","ftx","687126692-1","","ftx","","2021-10-03T06:00:00.000Z","kr 13,72","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.41885547","USDLOSS","0","USD","ftx","687291719-2","","ftx","","2021-10-03T07:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.41885547","USDLOSS","1.41885547","USD","0","USD","ftx","687291719-1","","ftx","","2021-10-03T07:00:00.000Z","kr 12,58","2022-03-27T20:43:38.350Z"
"Trade","1.16544883","USDLOSS","1.16544883","USD","0","USD","ftx","687458794-1","","ftx","","2021-10-03T08:00:00.000Z","kr 10,33","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.16544883","USDLOSS","0","USD","ftx","687458794-2","","ftx","","2021-10-03T08:00:00.000Z","","2022-03-27T20:43:38.350Z"
"Trade","1.19417293","USDLOSS","1.19417293","USD","0","USD","ftx","687621471-1","","ftx","","2021-10-03T09:00:00.000Z","kr 10,59","2022-03-27T20:43:38.350Z"
"Trade","0","USD","1.19417293","USDLOSS","0","USD","ftx","687621471-2","","ftx","","2021-10-03T09:00:00.000Z","","2022-03-27T20:43:38.350Z"
